,GENE NAME,GENE ID
16122,SYNPR,ENSG00000163630
16123,SYNRG,ENSG00000275066
16124,SYP,ENSG00000102003
16125,SYPL1,ENSG00000008282
16126,SYPL2,ENSG00000143028
16127,SYS1,ENSG00000204070
16128,SYT1,ENSG00000067715
16129,SYT2,ENSG00000143858
16130,SYT3,ENSG00000213023
16131,SYT4,ENSG00000132872
16132,SYT5,ENSG00000129990
16133,SYT6,ENSG00000134207
16134,SYT7,ENSG00000011347
16135,SYT8,ENSG00000149043
16136,SYT9,ENSG00000170743
16137,SYT10,ENSG00000110975
16138,SYT11,ENSG00000132718
16139,SYT12,ENSG00000173227
16140,SYT13,ENSG00000019505
16141,SYT14,ENSG00000143469
16142,SYT15,ENSG00000204176
16143,SYT15B,ENSG00000277758
16144,SYT16,ENSG00000139973
16145,SYT17,ENSG00000103528
16146,SYTL1,ENSG00000142765
16147,SYTL2,ENSG00000137501
16148,SYTL3,ENSG00000164674
16149,SYTL4,ENSG00000102362
16150,SYTL5,ENSG00000147041
16151,SYVN1,ENSG00000162298
16152,SZRD1,ENSG00000055070
16153,SZT2,ENSG00000198198
16154,TAAR1,ENSG00000146399
16155,TAAR2,ENSG00000146378
16156,TAAR5,ENSG00000135569
16157,TAAR6,ENSG00000146383
16158,TAAR8,ENSG00000146385
16159,TAAR9,ENSG00000237110
16160,TAB1,ENSG00000100324
16161,TAB2,ENSG00000055208
16162,TAB3,ENSG00000157625
16163,TAC1,ENSG00000006128
16164,TAC3,ENSG00000166863
16165,TAC4,ENSG00000176358
16166,TACC1,ENSG00000147526
16167,TACC2,ENSG00000138162
16168,TACC3,ENSG00000013810
16169,TACO1,ENSG00000136463
16170,TACR1,ENSG00000115353
16171,TACR2,ENSG00000075073
16172,TACR3,ENSG00000169836
16173,TACSTD2,ENSG00000184292
16174,TADA1,ENSG00000152382
16175,TADA2A,ENSG00000276234
16176,TADA2B,ENSG00000173011
16177,TADA3,ENSG00000171148
16178,TAF1,ENSG00000147133
16179,TAF1A,ENSG00000143498
16180,TAF1B,ENSG00000115750
16181,TAF1C,ENSG00000103168
16182,TAF1D,ENSG00000166012
16183,TAF1L,ENSG00000122728
16184,TAF2,ENSG00000064313
16185,TAF3,ENSG00000165632
16186,TAF4,ENSG00000130699
16187,TAF4B,ENSG00000141384
16188,TAF5,ENSG00000148835
16189,TAF5L,ENSG00000135801
16190,TAF6,ENSG00000106290
16191,TAF6L,ENSG00000162227
16192,TAF7,ENSG00000178913
16193,TAF7L,ENSG00000102387
16194,TAF8,ENSG00000137413
16195,TAF9,ENSG00000273841
16196,TAF9B,ENSG00000187325
16197,TAF10,ENSG00000166337
16198,TAF11,ENSG00000064995
16199,TAF11L2,ENSG00000284373
16200,TAF11L3,ENSG00000284439
16201,TAF11L4,ENSG00000284283
16202,TAF11L5,ENSG00000284234
16203,TAF11L6,ENSG00000284042
16204,TAF11L7,ENSG00000284465
16205,TAF11L8,ENSG00000283967
16206,TAF11L9,ENSG00000283988
16207,TAF11L10,ENSG00000284356
16208,TAF11L11,ENSG00000283740
16209,TAF11L12,ENSG00000249156
16210,TAF11L13,ENSG00000283776
16211,TAF11L14,ENSG00000250782
16212,TAF12,ENSG00000120656
16213,TAF13,ENSG00000197780
16214,TAF15,ENSG00000270647
16215,TAFA1,ENSG00000183662
16216,TAFA2,ENSG00000198673
16217,TAFA3,ENSG00000184599
16218,TAFA4,ENSG00000163377
16219,TAFA5,ENSG00000219438
16220,TAFAZZIN,ENSG00000102125
16221,TAGAP,ENSG00000164691
16222,TAGLN,ENSG00000149591
16223,TAGLN2,ENSG00000158710
16224,TAGLN3,ENSG00000144834
16225,TAL1,ENSG00000162367
16226,TAL2,ENSG00000186051
16227,TALDO1,ENSG00000177156
16228,TAMALIN,ENSG00000161835
16229,TAMM41,ENSG00000144559
16230,TANC1,ENSG00000115183
16231,TANC2,ENSG00000170921
16232,TANGO2,ENSG00000183597
16233,TANGO6,ENSG00000103047
16234,TANK,ENSG00000136560
16235,TAOK1,ENSG00000160551
16236,TAOK2,ENSG00000149930
16237,TAOK3,ENSG00000135090
16238,TAP1,ENSG00000168394
16239,TAP2,ENSG00000204267
16240,TAPBP,ENSG00000231925
16241,TAPBPL,ENSG00000139192
16242,TAPT1,ENSG00000169762
16243,TARBP1,ENSG00000059588
16244,TARBP2,ENSG00000139546
16245,TARDBP,ENSG00000120948
16246,TARM1,ENSG00000248385
16247,TARS1,ENSG00000113407
16248,TARS2,ENSG00000143374
16249,TARS3,ENSG00000185418
16250,TAS1R1,ENSG00000173662
